index,x_m,y_m,z_m,longitude,latitude,distance_m
98,516.6383,0,1818.6321,135.5096064,34.6914686,4171.229
99,519.8241,0,1801.0881,135.5096412,34.691311,4189.04
100,523.5135,0,1778.7908,135.5096815,34.6911107,4211.615
101,527.5325,0,1762.2599,135.5097254,34.6909622,4228.609
102,529.7937,0,1725.6469,135.5097501,34.6906333,4265.25
103,530.8099,0,1690.1471,135.5097612,34.6903144,4300.725
104,536.4676,0,1388.7162,135.509823,34.6876066,4601.872
105,540.2577,0,1226.8465,135.5098644,34.6861525,4763.605
106,540.8344,0,1184.1555,135.5098707,34.685769,4806.252
107,544.7069,0,988.0885,135.509913,34.6840077,5002.138
108,545.5583,0,935.7683,135.5099223,34.6835377,5054.407
109,545.952,0,915.4859,135.5099266,34.6833555,5074.67
110,546.5928,0,900.2686,135.5099336,34.6832188,5089.884
111,547.49,0,885.8861,135.5099434,34.6830896,5104.279
112,548.8724,0,873.2179,135.5099585,34.6829758,5117.008
113,550.9139,0,859.3141,135.5099808,34.6828509,5131.045
114,553.5963,0,845.466,135.5100101,34.6827265,5145.135
115,557.0659,0,831.8739,135.510048,34.6826044,5159.147
116,561.9729,0,817.035,135.5101016,34.6824711,5174.758
117,568.1616,0,801.4614,135.5101692,34.6823312,5191.498
118,585.0614,0,766.1954,135.5103538,34.6820144,5230.559
119,592.4585,0,750.5438,135.5104346,34.6818738,5247.851
120,599.5809,0,732.6437,135.5105124,34.681713,5267.095
121,606.09,0,714.4429,135.5105835,34.6815495,5286.403
122,612.4526,0,693.526,135.510653,34.6813616,5308.241
123,617.1032,0,673.6666,135.5107038,34.6811832,5328.615
124,619.987,0,654.3304,135.5107353,34.6810095,5348.143
125,622.1292,0,633.9144,135.5107587,34.6808261,5368.648
126,623.063,0,613.2312,135.5107689,34.6806403,5389.329
127,624.6285,0,577.3641,135.510786,34.6803181,5425.191
128,627.9517,0,496.0675,135.5108223,34.6795878,5506.464
129,630.3136,0,396.5479,135.5108481,34.6786938,5605.901
130,631.7601,0,283.6254,135.5108639,34.6776794,5718.706
131,632.5016,0,249.6507,135.510872,34.6773742,5752.651
132,633.4171,0,134.1233,135.510882,34.6763364,5868.053
133,630.8171,0,-33.4571,135.5108536,34.674831,6035.466
134,627.6129,0,-132.1195,135.5108186,34.6739447,6134.07
135,622.0743,0,-251.8993,135.5107581,34.6728687,6253.844
136,602.1992,0,-634.1927,135.510541,34.6694345,6636.226
137,594.2345,0,-810.3335,135.510454,34.6678522,6812.35
138,592.4768,0,-840.3007,135.5104348,34.667583,6842.335
139,583.6973,0,-966.1586,135.5103389,34.6664524,6968.358
140,571.3291,0,-1129.3529,135.5102038,34.6649864,7131.837
141,559.8673,0,-1262.5467,135.5100786,34.6637899,7265.374
142,556.654,0,-1293.2709,135.5100435,34.6635139,7296.231
143,540.7795,0,-1401.1506,135.5098701,34.6625448,7405.151
144,532.8057,0,-1451.4002,135.509783,34.6620934,7455.973
145,518.1671,0,-1531.9287,135.5096231,34.66137,7537.73
146,503.4828,0,-1615.9861,135.5094627,34.6606149,7622.965
147,489.952,0,-1702.114,135.5093149,34.6598412,7710.052
148,483.4612,0,-1748.5565,135.509244,34.659424,7756.894
149,465.5544,0,-1889.7207,135.5090484,34.6581559,7899.031
150,437.4949,0,-2043.2971,135.5087419,34.6567763,8054.976
151,421.3,0,-2107.5841,135.508565,34.6561988,8121.199
152,416.3015,0,-2126.9537,135.5085104,34.6560248,8141.181
153,412.8776,0,-2139.3769,135.508473,34.6559132,8154.053
154,408.9593,0,-2152.29,135.5084302,34.6557972,8167.533
155,405.5354,0,-2161.4293,135.5083928,34.6557151,8177.282
156,401.1594,0,-2170.9583,135.508345,34.6556295,8187.756
157,395.3736,0,-2180.4316,135.5082818,34.6555444,8198.845
158,388.9103,0,-2188.2351,135.5082112,34.6554743,8208.967
159,380.9914,0,-2195.6044,135.5081247,34.6554081,8219.774
160,373.1823,0,-2201.4376,135.5080394,34.6553557,8229.511
161,364.1374,0,-2206.792,135.5079406,34.6553076,8240.012
162,354.4058,0,-2210.7327,135.5078343,34.6552722,8250.502
163,343.539,0,-2213.4489,135.5077156,34.6552478,8261.693
164,333.1117,0,-2214.807,135.5076017,34.6552356,8272.199
165,322.0618,0,-2215.141,135.507481,34.6552326,8283.244
166,310.6458,0,-2214.4842,135.5073563,34.6552385,8294.669
167,298.9368,0,-2213.3487,135.5072284,34.6552487,8306.423
168,190.855,0,-2198.5544,135.5060478,34.6553816,8415.416
169,97.009,0,-2186.0643,135.5050227,34.6554938,8510.006
170,-25.043,0,-2170.8915,135.5036895,34.6556301,8632.889
171,-101.4216,0,-2160.5722,135.5028552,34.6557228,8709.893
172,-176.2897,0,-2150.8874,135.5020374,34.6558098,8785.318
173,-196.1648,0,-2147.6591,135.5018203,34.6558388,8805.435
174,-206.409,0,-2145.3325,135.5017084,34.6558597,8815.931
175,-216.6716,0,-2142.3269,135.5015963,34.6558867,8826.615
176,-226.6778,0,-2137.9298,135.501487,34.6559262,8837.535
177,-237.334,0,-2132.2636,135.5013706,34.6559771,8849.592
178,-246.4705,0,-2125.9741,135.5012708,34.6560336,8860.674
179,-256.0007,0,-2117.5361,135.5011667,34.6561094,8873.39
180,-263.9379,0,-2108.3077,135.50108,34.6561923,8885.55
181,-271.2434,0,-2097.621,135.5010002,34.6562883,8898.481
182,-277.7434,0,-2086.1885,135.5009292,34.656391,8911.618
183,-282.8701,0,-2073.6094,135.5008732,34.656504,8925.187
184,-287.4841,0,-2060.1843,135.5008228,34.6566246,8939.368
185,-290.5876,0,-2047.7387,135.5007889,34.6567364,8952.18
186,-298.4149,0,-1975.4479,135.5007034,34.6573858,9024.813
187,-304.1275,0,-1938.7236,135.500641,34.6577157,9061.937
188,-313.0993,0,-1903.4687,135.500543,34.6580324,9098.276
189,-329.285,0,-1851.8721,135.5003662,34.6584959,9152.292
190,-331.0061,0,-1842.0314,135.5003474,34.6585843,9162.271
191,-333.8532,0,-1825.7565,135.5003163,34.6587305,9178.774
192,-334.3476,0,-1800.9546,135.5003109,34.6589533,9203.554
193,-330.4293,0,-1770.2749,135.5003537,34.6592289,9234.448
194,-318.5189,0,-1691.7724,135.5004838,34.6599341,9313.76
195,-304.8142,0,-1568.0742,135.5006335,34.6610453,9438.077
196,-298.5065,0,-1508.1732,135.5007024,34.6615834,9498.242
197,-296.1445,0,-1491.4307,135.5007282,34.6617338,9515.131
198,-291.5946,0,-1473.8311,135.5007779,34.6618919,9533.289
199,-278.7687,0,-1417.2697,135.500918,34.6624,9591.222
200,-275.5187,0,-1398.8574,135.5009535,34.6625654,9609.898
201,-273.6145,0,-1384.6642,135.5009743,34.6626929,9624.203
202,-273.5321,0,-1370.2483,135.5009752,34.6628224,9638.603
203,-275.4547,0,-1354.697,135.5009542,34.6629621,9654.255
204,-278.9152,0,-1342.04,135.5009164,34.6630758,9667.362
205,-279.4645,0,-1340.8377,135.5009104,34.6630866,9668.682
206,-289.1503,0,-1319.6981,135.5008046,34.6632765,9691.91
207,-343.1545,0,-1222.1155,135.5002147,34.6641531,9803.318
208,-401.5073,0,-1124.0096,135.4995773,34.6650344,9917.343
209,-447.9131,0,-1047.4997,135.4990704,34.6657217,10006.729
210,-479.9458,0,-989.8919,135.4987205,34.6662392,10072.572
211,-542.3358,0,-870.7578,135.498039,34.6673094,10206.906
212,-572.5925,0,-811.469,135.4977085,34.667842,10273.396
213,-602.8675,0,-749.8982,135.4973778,34.6683951,10341.932
